universe_id,target,logm_mean,logm_std,logm_min,logm_max,logm_median,x_std,y_std,z_std,position_spread,vx_mean,vy_mean,vz_mean,vx_std,vy_std,vz_std,velocity_spread,velocity_norm_mean,velocity_norm_std
LH_372,0.2282000035047531,0.19445114,0.18191811,0.0,1.0,0.14504904,0.20982568,0.25142294,0.30499753,0.2554154,0.519459,0.40494642,0.64214,0.1420576,0.16990831,0.13641018,0.14945869,0.9440318,0.15041259
LH_373,0.1534000039100647,0.21109962,0.20734239,0.0,1.0,0.15986004,0.24309123,0.21520217,0.28005314,0.24611552,0.49478215,0.54444647,0.46390858,0.18945129,0.2014952,0.17632462,0.18909037,0.9081863,0.19804637
LH_374,0.3693999946117401,0.20880902,0.21090738,0.0,1.0,0.14297293,0.30937982,0.31259012,0.28413317,0.30203435,0.6040889,0.3492752,0.5991229,0.17465022,0.13320298,0.19918372,0.16901231,0.95346946,0.15710084
LH_375,0.40220001339912415,0.25595948,0.2345832,0.0,1.0,0.18613106,0.33547413,0.2973938,0.27745405,0.3034407,0.4653466,0.52032834,0.5577691,0.14958955,0.14923379,0.19202678,0.16361669,0.9237633,0.16303053
LH_376,0.20059999823570251,0.22321837,0.20913604,0.0,1.0,0.15388781,0.25855127,0.35716677,0.30656356,0.3074272,0.46823967,0.40377307,0.5373584,0.16694392,0.1843136,0.18983565,0.18036439,0.85171425,0.20855999
LH_377,0.18780000507831573,0.18502785,0.2160362,0.0,1.0,0.08969258,0.24181601,0.25143322,0.28080025,0.25801647,0.46552607,0.5170881,0.40627015,0.1850878,0.22059433,0.15029477,0.18532562,0.84719175,0.19215664
LH_378,0.11819999665021896,0.20457143,0.20487756,0.0,1.0,0.13741921,0.28360677,0.25738388,0.26943594,0.2701422,0.48332894,0.5804466,0.5633612,0.17398712,0.22517903,0.15024786,0.18313801,0.98435694,0.14998068
LH_379,0.2777999937534332,0.14414217,0.16743204,0.0,1.0,0.08888582,0.30534026,0.28645873,0.29901612,0.29693836,0.5011684,0.55727625,0.5878092,0.14281154,0.1462584,0.15775488,0.14894162,0.9768191,0.14051272
LH_380,0.4277999997138977,0.23849332,0.21675013,0.0,1.0,0.16222212,0.27090022,0.21388803,0.27323228,0.2526735,0.5822017,0.43130887,0.58672327,0.15618546,0.19564936,0.11970344,0.15717943,0.96122855,0.14923695
LH_381,0.4390000104904175,0.23433173,0.2139593,0.0,1.0,0.19877627,0.2585217,0.3029147,0.29908872,0.28684172,0.4583021,0.43040684,0.54666394,0.21141389,0.1316584,0.13560201,0.1595581,0.86543256,0.15992667
LH_382,0.3917999863624573,0.19998659,0.18674955,0.0,1.0,0.14585143,0.32201484,0.2798085,0.29138014,0.2977345,0.3918576,0.4180177,0.41316825,0.12272376,0.1266123,0.20132147,0.15021919,0.7409144,0.14719766
LH_383,0.3889999985694885,0.26017132,0.21560428,0.0,1.0,0.21201521,0.27839836,0.31633884,0.3236949,0.30614403,0.48286796,0.483209,0.64293665,0.15409133,0.17036383,0.16883941,0.16443153,0.96999687,0.1428313
LH_384,0.26019999384880066,0.2413705,0.21855141,0.0,1.0,0.18195605,0.34397665,0.34441733,0.25818256,0.3155255,0.57152444,0.58852315,0.44082984,0.14736499,0.17755632,0.15523885,0.16005339,0.95606714,0.17495175
LH_385,0.17020000517368317,0.29143396,0.23301266,0.0,1.0,0.24821207,0.23924343,0.3120414,0.2878232,0.27970266,0.33186832,0.47430125,0.3902657,0.17135291,0.21629724,0.17263134,0.18676049,0.74503523,0.19564225
LH_386,0.25540000200271606,0.2314919,0.22182603,0.0,1.0,0.15567243,0.30379915,0.33696187,0.27459168,0.30511758,0.558569,0.547814,0.21674222,0.14891501,0.18335068,0.13605486,0.15610684,0.84133893,0.1597799
LH_387,0.4041999876499176,0.24983688,0.23813479,0.0,1.0,0.18010059,0.35048348,0.29515687,0.22692141,0.29085392,0.5458662,0.40056905,0.53901684,0.21197143,0.19487348,0.1615144,0.18945308,0.9029612,0.20644635
LH_388,0.16259999573230743,0.21193783,0.18597616,0.0,1.0,0.16937575,0.27756542,0.26280108,0.33216116,0.29084253,0.49802467,0.58927685,0.44330844,0.15007754,0.11784257,0.1934299,0.15378334,0.91926646,0.1434323
LH_389,0.16940000653266907,0.24573259,0.23250897,0.0,1.0,0.15261868,0.36186585,0.32080758,0.23469573,0.30578974,0.4388744,0.5698451,0.32422256,0.2287296,0.19858357,0.17419532,0.20050283,0.83921003,0.20069294
LH_390,0.3441999852657318,0.1982822,0.20599803,0.0,1.0,0.11921986,0.27823117,0.31105706,0.2765886,0.2886256,0.5263105,0.4543869,0.350973,0.17057809,0.1738523,0.15530923,0.16657989,0.8121344,0.1747351
LH_391,0.21060000360012054,0.3460962,0.26087868,0.0,1.0,0.28657883,0.29972765,0.3351556,0.29823095,0.31103805,0.46162224,0.5227129,0.45801556,0.1930625,0.18487848,0.19541101,0.19111733,0.8795455,0.17927764
LH_392,0.30219998955726624,0.24018326,0.22858101,0.0,1.0,0.15712795,0.27096367,0.22498496,0.32305253,0.2730004,0.39837682,0.37538812,0.549663,0.1693952,0.14920363,0.14983286,0.1561439,0.8052431,0.16352221
LH_393,0.2502000033855438,0.23815385,0.22056744,0.0,1.0,0.16647859,0.255806,0.2524266,0.27412006,0.2607842,0.5613335,0.47931165,0.381143,0.1983435,0.20434232,0.1926152,0.19843368,0.8781784,0.19262452
LH_394,0.2078000009059906,0.21348801,0.19990544,0.0,1.0,0.1440167,0.35310668,0.23768015,0.32711715,0.305968,0.50709563,0.64076024,0.48979083,0.16241103,0.1297232,0.2062425,0.16612558,0.98366416,0.16050176
LH_395,0.46219998598098755,0.2384226,0.22090988,0.0,1.0,0.17779022,0.35582832,0.3065643,0.2939362,0.31877628,0.4994044,0.39766723,0.5709894,0.17941369,0.17273673,0.1455929,0.16591443,0.8865269,0.17569149
LH_396,0.3578000068664551,0.22457804,0.19094166,0.0,1.0,0.17507249,0.280783,0.29892367,0.32428327,0.30133,0.35915148,0.6079526,0.38748628,0.13019648,0.12988228,0.17439966,0.14482616,0.8341966,0.13074179
LH_397,0.1509999930858612,0.2804077,0.23794967,0.0,1.0,0.1871076,0.33613905,0.30990422,0.3322904,0.32611123,0.47978577,0.47507066,0.49332604,0.13116704,0.1656669,0.16902381,0.15528591,0.8647345,0.15719634
LH_398,0.13459999859333038,0.20367508,0.19842912,0.0,1.0,0.13181794,0.22106467,0.17575698,0.3086198,0.23514716,0.6327364,0.5167318,0.48955208,0.17397946,0.21253175,0.13645014,0.17432047,0.9872114,0.1627863
LH_399,0.227400004863739,0.20702845,0.20517996,0.0,1.0,0.14406112,0.279457,0.2579547,0.32259235,0.28666803,0.46819496,0.5771083,0.60362536,0.120524846,0.19477947,0.20058201,0.1719621,0.991752,0.16046973
LH_400,0.3781999945640564,0.1848471,0.17238675,0.0,1.0,0.12904799,0.2840752,0.26977298,0.25921676,0.27102163,0.5685006,0.4928973,0.5477937,0.14908943,0.14740643,0.15108821,0.1491947,0.95698965,0.13104641
LH_401,0.45980000495910645,0.22103615,0.21113162,0.0,1.0,0.1366063,0.2669827,0.33170965,0.28738323,0.2953585,0.22449039,0.48337728,0.4833618,0.11649704,0.14718537,0.24770065,0.17046101,0.7552198,0.2095754
LH_402,0.30300000309944153,0.21671546,0.22811988,0.0,1.0,0.13278076,0.2699076,0.30736056,0.27117014,0.2828128,0.42556846,0.4275302,0.36339,0.15433618,0.20277722,0.17367211,0.1769285,0.7458326,0.18648548
LH_403,0.17339999973773956,0.2380623,0.21102937,0.0,1.0,0.17386517,0.1927267,0.23539834,0.3113253,0.24648345,0.47163594,0.57649606,0.50903344,0.19420825,0.15450007,0.19390047,0.1808696,0.9378973,0.18285662
LH_404,0.29019999504089355,0.25119287,0.23679401,0.0,1.0,0.1772053,0.19418071,0.27184114,0.32722473,0.26441553,0.46188077,0.5217932,0.48371047,0.20172514,0.15731591,0.19986945,0.18630351,0.8918479,0.17197071
