model,k,seed,target,prediction,residual,plotted_y,test_mae,test_rmse,test_r2,test_pearson
Static GCN,4,123,0.1462000012397766,0.3008320927619934,0.1546320915222168,0.1546320915222168,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.3357999920845032,0.3008320927619934,-0.034967899322509766,-0.034967899322509766,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.41019999980926514,0.3008320927619934,-0.10936790704727173,-0.10936790704727173,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.24500000476837158,0.3008320927619934,0.055832087993621826,0.055832087993621826,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.19820000231266022,0.3008320927619934,0.10263209044933319,0.10263209044933319,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.46459999680519104,0.3008320927619934,-0.16376790404319763,-0.16376790404319763,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.3901999890804291,0.3008320927619934,-0.08936789631843567,-0.08936789631843567,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.241799995303154,0.3008320927619934,0.059032097458839417,0.059032097458839417,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.32339999079704285,0.3008320927619934,-0.02256789803504944,-0.02256789803504944,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.23819999396800995,0.3008320927619934,0.06263209879398346,0.06263209879398346,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.4729999899864197,0.3008320927619934,-0.17216789722442627,-0.17216789722442627,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
Static GCN,4,123,0.4302000105381012,0.3008320927619934,-0.1293679177761078,-0.1293679177761078,0.09796162148316702,0.11436187355740077,-0.010242121106118107,-0.052321257023754626
