universe_id,universe_index,snapshot,path,exists,duplicate_count,total_rows,finite_mvir_rows,positive_mvir_rows,valid_builder_rows,omega_m,target_finite,top1000_feasible_without_padding,top1000_padding,top1000_padding_fraction,top1500_feasible_without_padding,top1500_padding,top1500_padding_fraction,top2000_feasible_without_padding,top2000_padding,top2000_padding_fraction
LH_18,18,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_18_hlist_0.25000.list,True,0,8381,8381,8381,8381,0.4578,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_18,18,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_18_hlist_0.51209.list,True,0,8128,8128,8128,8128,0.4578,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_18,18,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_18_hlist_0.75065.list,True,0,7031,7031,7031,7031,0.4578,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_18,18,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_18_hlist_1.00000.list,True,0,6550,6550,6550,6550,0.4578,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_19,19,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_19_hlist_0.20000.list,True,0,6562,6562,6562,6562,0.3062,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_19,19,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_19_hlist_0.25000.list,True,0,7568,7568,7568,7568,0.3062,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_19,19,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_19_hlist_0.51209.list,True,0,7383,7383,7383,7383,0.3062,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_19,19,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_19_hlist_0.75065.list,True,0,6455,6455,6455,6455,0.3062,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_19,19,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_19_hlist_1.00000.list,True,0,6413,6413,6413,6413,0.3062,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_20,20,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_20_hlist_0.20000.list,True,0,1317,1317,1317,1317,0.1398,True,True,0,0.000000,False,183,0.122000,False,683,0.341500
LH_20,20,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_20_hlist_0.25000.list,True,0,2483,2483,2483,2483,0.1398,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_20,20,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_20_hlist_0.51209.list,True,0,5253,5253,5253,5253,0.1398,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_20,20,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_20_hlist_0.75065.list,True,0,5782,5782,5782,5782,0.1398,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
