universe_id,universe_index,snapshot,path,status,error,raw_halo_count,valid_real_halo_count,at_least_1500,padded_slots_top1500,padded_slot_percentage
LH_18,18,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_18_hlist_0.25000.list,PASS,,8381,8381,True,0,0.0
LH_18,18,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_18_hlist_0.51209.list,PASS,,8128,8128,True,0,0.0
LH_18,18,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_18_hlist_0.75065.list,PASS,,7031,7031,True,0,0.0
LH_18,18,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_18_hlist_1.00000.list,PASS,,6550,6550,True,0,0.0
LH_19,19,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_19_hlist_0.20000.list,PASS,,6562,6562,True,0,0.0
LH_19,19,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_19_hlist_0.25000.list,PASS,,7568,7568,True,0,0.0
LH_19,19,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_19_hlist_0.51209.list,PASS,,7383,7383,True,0,0.0
LH_19,19,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_19_hlist_0.75065.list,PASS,,6455,6455,True,0,0.0
LH_19,19,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_19_hlist_1.00000.list,PASS,,6413,6413,True,0,0.0
LH_20,20,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_20_hlist_0.20000.list,PASS,,1317,1317,False,183,12.2
LH_20,20,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_20_hlist_0.25000.list,PASS,,2483,2483,True,0,0.0
LH_20,20,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_20_hlist_0.51209.list,PASS,,5253,5253,True,0,0.0
LH_20,20,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_20_hlist_0.75065.list,PASS,,5782,5782,True,0,0.0
LH_20,20,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_20_hlist_1.00000.list,PASS,,6348,6348,True,0,0.0
LH_21,21,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_21_hlist_0.20000.list,PASS,,2329,2329,True,0,0.0
LH_21,21,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_21_hlist_0.25000.list,PASS,,3586,3586,True,0,0.0
LH_21,21,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_21_hlist_0.51209.list,PASS,,5247,5247,True,0,0.0
LH_21,21,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_21_hlist_0.75065.list,PASS,,5182,5182,True,0,0.0
LH_21,21,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_21_hlist_1.00000.list,PASS,,5622,5622,True,0,0.0
LH_22,22,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_22_hlist_0.20000.list,PASS,,3105,3105,True,0,0.0
LH_22,22,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_22_hlist_0.25000.list,PASS,,4488,4488,True,0,0.0
LH_22,22,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_22_hlist_0.51209.list,PASS,,6270,6270,True,0,0.0
