universe_id,omega_m_0.20000,omega_m_0.25000,omega_m_0.51209,omega_m_0.75065,omega_m_1.00000,minimum,maximum,spread,consistent,catalogues_checked,header_key
LH_70,0.33700000000000002,0.33700000000000002,0.33700000000000002,0.33700000000000002,0.33700000000000002,0.33700000000000002,0.33700000000000002,0,True,5,Omega_M
LH_71,0.25340000000000001,0.25340000000000001,0.25340000000000001,0.25340000000000001,0.25340000000000001,0.25340000000000001,0.25340000000000001,0,True,5,Omega_M
LH_72,0.2102,0.2102,0.2102,0.2102,0.2102,0.2102,0.2102,0,True,5,Omega_M
LH_73,0.1434,0.1434,0.1434,0.1434,0.1434,0.1434,0.1434,0,True,5,Omega_M
LH_74,0.27939999999999998,0.27939999999999998,0.27939999999999998,0.27939999999999998,0.27939999999999998,0.27939999999999998,0.27939999999999998,0,True,5,Omega_M
LH_75,0.13780000000000001,0.13780000000000001,0.13780000000000001,0.13780000000000001,0.13780000000000001,0.13780000000000001,0.13780000000000001,0,True,5,Omega_M
LH_76,0.39779999999999999,0.39779999999999999,0.39779999999999999,0.39779999999999999,0.39779999999999999,0.39779999999999999,0.39779999999999999,0,True,5,Omega_M
LH_77,0.1018,0.1018,0.1018,0.1018,0.1018,0.1018,0.1018,0,True,5,Omega_M
LH_78,0.19059999999999999,0.19059999999999999,0.19059999999999999,0.19059999999999999,0.19059999999999999,0.19059999999999999,0.19059999999999999,0,True,5,Omega_M
LH_79,0.38819999999999999,0.38819999999999999,0.38819999999999999,0.38819999999999999,0.38819999999999999,0.38819999999999999,0.38819999999999999,0,True,5,Omega_M
LH_80,0.4546,0.4546,0.4546,0.4546,0.4546,0.4546,0.4546,0,True,5,Omega_M
LH_81,0.32340000000000002,0.32340000000000002,0.32340000000000002,0.32340000000000002,0.32340000000000002,0.32340000000000002,0.32340000000000002,0,True,5,Omega_M
LH_82,0.3574,0.3574,0.3574,0.3574,0.3574,0.3574,0.3574,0,True,5,Omega_M
LH_83,0.33579999999999999,0.33579999999999999,0.33579999999999999,0.33579999999999999,0.33579999999999999,0.33579999999999999,0.33579999999999999,0,True,5,Omega_M
LH_84,0.15140000000000001,0.15140000000000001,0.15140000000000001,0.15140000000000001,0.15140000000000001,0.15140000000000001,0.15140000000000001,0,True,5,Omega_M
