model,head_type,seed,target,prediction,residual,plotted_y,test_mae,test_rmse,test_r2,test_pearson
EvolveGCN-H,linear,123,0.3986000120639801,0.3592737317085266,-0.03932628035545349,0.3592737317085266,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.1462000012397766,0.18609043955802917,0.039890438318252563,0.18609043955802917,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.20900000631809235,0.22414878010749817,0.015148773789405823,0.22414878010749817,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.40139999985694885,0.37218689918518066,-0.02921310067176819,0.37218689918518066,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.15780000388622284,0.21958863735198975,0.06178863346576691,0.21958863735198975,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.460999995470047,0.3841697871685028,-0.07683020830154419,0.3841697871685028,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.2766000032424927,0.2277745008468628,-0.04882550239562988,0.2277745008468628,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4498000144958496,0.42664846777915955,-0.023151546716690063,0.42664846777915955,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.23579999804496765,0.26598042249679565,0.030180424451828003,0.26598042249679565,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.1826000064611435,0.264165461063385,0.08156545460224152,0.264165461063385,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3709999918937683,0.36363744735717773,-0.007362544536590576,0.36363744735717773,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.16019999980926514,0.27868223190307617,0.11848223209381104,0.27868223190307617,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3181999921798706,0.419895738363266,0.10169574618339539,0.419895738363266,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3601999878883362,0.3514811098575592,-0.008718878030776978,0.3514811098575592,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4041999876499176,0.36047202348709106,-0.04372796416282654,0.36047202348709106,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.16820000112056732,0.13497331738471985,-0.03322668373584747,0.13497331738471985,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.33340001106262207,0.41409555077552795,0.08069553971290588,0.41409555077552795,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.22020000219345093,0.20352551341056824,-0.01667448878288269,0.20352551341056824,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.387800008058548,0.5037007331848145,0.11590072512626648,0.5037007331848145,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.20020000636577606,0.20728948712348938,0.007089480757713318,0.20728948712348938,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.33059999346733093,0.3509179949760437,0.02031800150871277,0.3509179949760437,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.33180001378059387,0.3040508031845093,-0.027749210596084595,0.3040508031845093,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.31700000166893005,0.41321203112602234,0.09621202945709229,0.41321203112602234,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3294000029563904,0.41792958974838257,0.08852958679199219,0.41792958974838257,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.2558000087738037,0.2133946567773819,-0.042405351996421814,0.2133946567773819,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.17499999701976776,0.3230190873146057,0.14801909029483795,0.3230190873146057,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.2029999941587448,0.28372639417648315,0.08072640001773834,0.28372639417648315,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.42500001192092896,0.3422156572341919,-0.08278435468673706,0.3422156572341919,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.44620001316070557,0.40570127964019775,-0.04049873352050781,0.40570127964019775,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.10740000009536743,0.13998627662658691,0.03258627653121948,0.13998627662658691,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.12860000133514404,0.24672283232212067,0.11812283098697662,0.24672283232212067,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.26899999380111694,0.29061654210090637,0.02161654829978943,0.29061654210090637,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
